date,brk,spx
2023/1/3,1,1
2023/1/4,1.014344284,1.00772029
2023/1/5,1.008806773,0.996218729
2023/1/6,1.026473564,1.019064104
2023/1/9,1.018870135,1.018486486
2023/1/10,1.02107449,1.025628916
2023/1/11,1.030807731,1.038600874
2023/1/12,1.028401044,1.042382309
2023/1/13,1.024484319,1.04642619
2023/1/17,1.013790533,1.044509319
2023/1/18,0.993046164,1.028018537
2023/1/19,0.983866674,1.020534747
2023/1/20,1.000255577,1.039546294
2023/1/23,1.000159736,1.052019307
2023/1/24,1.003141473,1.050890187
2023/1/25,1.004540759,1.051284107
2023/1/26,1.000926468,1.062838057
2023/1/27,1.001011661,1.065280155
2023/1/30,0.990447793,1.051914359
2023/1/31,1.007401097,1.06738097
2023/2/1,1.002302327,1.078724863
2023/2/2,1.005516213,1.094427809
2023/2/3,0.994100421,1.082795106
2023/2/6,0.994622225,1.076177821
2023/2/7,1.010712955,1.090252621
2023/2/8,0.996749907,1.078330946
2023/2/9,0.992535009,1.068982757
2023/2/10,1.005803738,1.071477408
2023/2/13,1.014855439,1.08405553
2023/2/14,1.006336191,1.083556585
2023/2/15,0.99897769,1.087075326
2023/2/16,0.995250519,1.07210766
2023/2/17,0.995416644,1.069429231
2023/2/21,0.976508173,1.047975423
2023/2/22,0.979739098,1.046531219
2023/2/23,0.978382408,1.05209822
2023/2/24,0.98334487,1.040859192
2023/2/27,0.983785741,1.044404291
2023/2/28,0.987221128,1.040544267
2023/3/1,0.984899633,1.036552777
2023/3/2,0.994174964,1.044614347
2023/3/3,1.007946329,1.061367577
2023/3/6,1.022767691,1.06210294
2023/3/7,1.004206379,1.045822217
2023/3/8,1.005275544,1.047529195
2023/3/9,0.981907247,1.028202317
2023/3/10,0.980697513,1.013365959
2023/3/13,0.975560407,1.011921674
2023/3/14,0.983557851,1.028648709
2023/3/15,0.9555849,1.022215203
2023/3/16,0.969809914,1.040150187
2023/3/17,0.94300623,1.027988017
2023/3/20,0.971017518,1.037872774
2023/3/21,0.980810393,1.051500691
2023/3/22,0.970470156,1.033576235
2023/3/23,0.964272403,1.036370304
2023/3/24,0.964945424,1.043171042
2023/3/27,0.97507055,1.045121537
2023/3/28,0.977583728,1.042775654
2023/3/29,0.984186146,1.057932322
2023/3/30,0.983504606,1.064126717
2023/3/31,0.991640488,1.079125148
2023/4/3,1.000500506,1.083237337
2023/4/4,0.996027901,1.077227372
2023/4/5,1.004206379,1.074406862
2023/4/6,1.018060806,1.078598047
2023/4/10,1.014855439,1.079705049
2023/4/11,1.024013631,1.079995163
2023/4/12,1.029764123,1.075592943
2023/4/13,1.045226559,1.08987984
2023/4/14,1.056386774,1.087217484
2023/4/17,1.060433417,1.091118635
2023/4/18,1.056812736,1.091830332
2023/4/19,1.054146212,1.091645902
2023/4/20,1.057025717,1.085688735
2023/4/21,1.057249348,1.086532148
2023/4/24,1.061178851,1.087665672
2023/4/25,1.054495501,1.070400273
2023/4/26,1.04680262,1.065866421
2023/4/27,1.064267078,1.087085771
2023/4/28,1.071039881,1.096364185
2023/5/1,1.072147383,1.095257103
2023/5/2,1.052340131,1.082947223
2023/5/3,1.040638944,1.075513947
2023/5/4,1.042628188,1.067896075
2023/5/5,1.047526756,1.087665672
2023/5/8,1.058516586,1.08795554
2023/5/9,1.06277621,1.083184537
2023/5/10,1.047867526,1.088245573
2023/5/11,1.049997338,1.086347715
2023/5/12,1.046125339,1.08492424
2023/5/15,1.056173793,1.088667237
2023/5/16,1.061966881,1.081392033
2023/5/17,1.066183909,1.094519047
2023/5/18,1.074192003,1.105062864
2023/5/19,1.080157606,1.103454876
2023/5/22,1.067351046,1.103902981
2023/5/23,1.047824929,1.091514023
2023/5/24,1.036249401,1.0836062
2023/5/25,1.030829029,1.092990218
2023/5/26,1.036473031,1.107145235
2023/5/30,1.041957297,1.107566899
2023/5/31,1.039399393,1.101425222
2023/6/1,1.047867526,1.11188988
2023/6/2,1.071295458,1.127969035
2023/6/5,1.062620734,1.125807584
2023/6/6,1.082370481,1.128259065
2023/6/7,1.090027155,1.124357834
2023/6/8,1.09155849,1.131158572
2023/6/9,1.087993185,1.133188226
2023/6/12,1.08408285,1.143468371
2023/6/13,1.093990735,1.151007164
2023/6/14,1.086204142,1.152377759
2023/6/15,1.099815771,1.166664572
2023/6/16,1.094723391,1.16269071
2023/6/20,1.096853203,1.156658384
2023/6/21,1.097950056,1.150731986
2023/6/22,1.089356264,1.154885875
2023/6/23,1.086204142,1.146154799
2023/6/26,1.079814706,1.141472012
2023/6/27,1.087439433,1.153986319
2023/6/28,1.079069272,1.154568423
2023/6/29,1.091017518,1.159118922
2023/6/30,1.102837975,1.172797356
2023/7/3,1.106352164,1.174146651
2023/7/5,1.109632075,1.172400583
2023/7/6,1.107076301,1.163219851
2023/7/7,1.110952558,1.160283132
2023/7/10,1.101402481,1.163219851
2023/7/11,1.110452053,1.170627747
2023/7/12,1.119003248,1.180046608
2023/7/13,1.111406208,1.189412588
2023/7/14,1.10198179,1.188671757
2023/7/17,1.114956605,1.192799044
2023/7/18,1.11761887,1.201662242
2023/7/19,1.108567169,1.204334553
2023/7/20,1.12079229,1.196344306
2023/7/21,1.124008306,1.196344306
2023/7/24,1.134437996,1.201688764
2023/7/25,1.125505564,1.204969375
2023/7/26,1.132847026,1.205154624
2023/7/27,1.132314573,1.197164377
2023/7/28,1.135430488,1.208885135
2023/7/31,1.140301368,1.211186866
2023/8/1,1.138171556,1.207720926
2023/8/2,1.136893669,1.190920608
2023/8/3,1.152228316,1.18750755
2023/8/4,1.136467707,1.182136815
2023/8/7,1.175485863,1.192455068
2023/8/8,1.178001171,1.187269501
2023/8/9,1.161343911,1.179332301
2023/8/10,1.157936212,1.179755679
2023/8/11,1.156274959,1.17906773
2023/8/14,1.156807412,1.185576151
2023/8/15,1.14606677,1.171765595
2023/8/16,1.144767584,1.163166968
2023/8/17,1.141198019,1.15430377
2023/8/18,1.1411895,1.154859353
2023/8/21,1.1388105,1.162373175
2023/8/22,1.132719238,1.159224766
2023/8/23,1.144028539,1.172135929
2023/8/24,1.145370321,1.155891111
2023/8/25,1.150098504,1.164040002
2023/8/28,1.149257228,1.171421622
2023/8/29,1.157750918,1.188354223
2023/8/30,1.165748363,1.193248863
2023/8/31,1.16442149,1.191502632
2023/9/1,1.171396624,1.193725041
2023/9/5,1.164212768,1.188565833
2023/9/6,1.168542676,1.180575749
2023/9/7,1.169117725,1.176951165
2023/9/8,1.17438901,1.178723837
2023/9/11,1.182703796,1.186475789
2023/9/12,1.187189181,1.179967286
2023/9/13,1.188339279,1.181343103
2023/9/14,1.196400618,1.191529071
2023/9/15,1.191629839,1.177173137
2023/9/18,1.198658218,1.177863532
2023/9/19,1.199239657,1.175420785
2023/9/20,1.185410787,1.164614844
2023/9/21,1.173590331,1.145365574
2023/9/22,1.163335286,1.142790212
2023/9/25,1.167903732,1.147595818
2023/9/26,1.162600501,1.130736172
2023/9/27,1.155412385,1.131187543
2023/9/28,1.152451946,1.137745581
2023/9/29,1.131946116,1.134984401
2023/10/2,1.124455567,1.134532948
2023/10/3,1.111589372,1.119346006
2023/10/4,1.111069698,1.1274971
2023/10/5,1.115052447,1.127072252
2023/10/6,1.119056493,1.140453718
2023/10/9,1.115361269,1.147755115
2023/10/10,1.12566956,1.153729011
2023/10/11,1.126287205,1.158455049
2023/10/12,1.117122624,1.151392594
2023/10/13,1.113252755,1.145657648
2023/10/16,1.123422608,1.157711607
2023/10/17,1.124008306,1.157658481
2023/10/18,1.103551462,1.142232592
2023/10/19,1.098024599,1.132196453
2023/10/20,1.088333955,1.118283969
2023/10/23,1.091528673,1.116345716
2023/10/24,1.099515468,1.124762359
2023/10/25,1.091315691,1.10861947
2023/10/26,1.086470369,1.09534426
2023/10/27,1.072094138,1.090379274
2023/10/30,1.092732016,1.103415703
2023/10/31,1.102869922,1.110345381
2023/11/1,1.115486928,1.122186917
2023/11/2,1.129524519,1.143692953
2023/11/3,1.136925616,1.154127335
2023/11/6,1.121239551,1.156782345
2023/11/7,1.118747671,1.160074544
2023/11/8,1.121686811,1.160924238
2023/11/9,1.125019967,1.151870486
2023/11/10,1.132817209,1.169845132
2023/11/13,1.131543581,1.168730132
2023/11/14,1.144560992,1.191404375
2023/11/15,1.155423034,1.19392661
2023/11/16,1.164229807,1.195386891
2023/11/17,1.159022416,1.196873694
2023/11/20,1.166787711,1.206086823
2023/11/21,1.166338321,1.203458254
2023/11/22,1.170374314,1.208104644
2023/11/24,1.170331718,1.208847922
2023/11/27,1.165954954,1.206670885
2023/11/28,1.164728183,1.207865616
2023/11/29,1.15841542,1.207016002
2023/11/30,1.162664395,1.211768562
2023/12/1,1.15523987,1.21893727
2023/12/4,1.155199404,1.212538608
2023/12/5,1.148501145,1.21229958
2023/12/6,1.139918002,1.207414326
2023/12/7,1.145370321,1.216627375
2023/12/8,1.150098504,1.221857829
2023/12/11,1.164809116,1.226610306
2023/12/12,1.169777967,1.23221256
2023/12/13,1.183749534,1.249204901
2023/12/14,1.170885469,1.253214019
2023/12/15,1.159635802,1.251150663
2023/12/18,1.173914062,1.258188471
2023/12/19,1.18130025,1.265839392
2023/12/20,1.158064001,1.248298245
2023/12/21,1.152228316,1.260134557
2023/12/22,1.155636015,1.262666994
2023/12/26,1.157840371,1.267998639
2023/12/27,1.158085299,1.270291313
2023/12/28,1.160747564,1.270771163
2023/12/29,1.15568926,1.26709231
